 frequency       v(/u_vc)        v(/u_vc)        v(/u_d)         v(/u_d)        
 3.93550075e+01  1.76246373e-01  4.62294674e-01  1.76246374e-01  4.62294670e-01 
 3.98107171e+01  1.90775892e-01  4.78082608e-01  1.90775894e-01  4.78082604e-01 
 4.02717034e+01  2.07018386e-01  4.94631316e-01  2.07018388e-01  4.94631312e-01 
 4.07380278e+01  2.25231988e-01  5.11940620e-01  2.25231990e-01  5.11940617e-01 
 4.12097519e+01  2.45719630e-01  5.29989339e-01  2.45719632e-01  5.29989336e-01 
 4.16869383e+01  2.68836769e-01  5.48725600e-01  2.68836772e-01  5.48725597e-01 
 4.21696503e+01  2.94999855e-01  5.68053331e-01  2.94999858e-01  5.68053328e-01 
 4.26579519e+01  3.24695069e-01  5.87813496e-01  3.24695072e-01  5.87813493e-01 
 4.31519077e+01  3.58486349e-01  6.07758200e-01  3.58486352e-01  6.07758198e-01 
 4.36515832e+01  3.97020814e-01  6.27515275e-01  3.97020818e-01  6.27515273e-01 
 4.41570447e+01  4.41028231e-01  6.46540479e-01  4.41028235e-01  6.46540477e-01 
 4.46683592e+01  4.91308752e-01  6.64054308e-01  4.91308757e-01  6.64054307e-01 
 4.51855944e+01  5.48699581e-01  6.78961142e-01  5.48699587e-01  6.78961141e-01 
 4.57088190e+01  6.14006049e-01  6.89751179e-01  6.14006056e-01  6.89751179e-01 
 4.62381021e+01  6.87876266e-01  6.94392359e-01  6.87876274e-01  6.94392358e-01 
 4.67735141e+01  7.70592764e-01  6.90233157e-01  7.70592774e-01  6.90233156e-01 
 4.73151259e+01  8.61754624e-01  6.73961283e-01  8.61754634e-01  6.73961282e-01 
 4.78630092e+01  9.59840703e-01  6.41698659e-01  9.59840715e-01  6.41698658e-01 
 4.84172368e+01  1.06169662e+00  5.89350370e-01  1.06169663e+00  5.89350368e-01 
 4.89778819e+01  1.16209145e+00  5.13332280e-01  1.16209147e+00  5.13332277e-01 
 4.95450191e+01  1.25363107e+00  4.11716153e-01  1.25363108e+00  4.11716149e-01 
 5.01187234e+01  1.32740167e+00  2.85590422e-01  1.32740169e+00  2.85590416e-01 
 5.06990708e+01  1.37457076e+00  1.40081864e-01  1.37457078e+00  1.40081856e-01 
 5.12861384e+01  1.38866857e+00 -1.57161045e-02  1.38866859e+00 -1.57161146e-02 
 5.18800039e+01  1.36763219e+00 -1.70332864e-01  1.36763221e+00 -1.70332877e-01 
 5.24807460e+01  1.31451776e+00 -3.12580160e-01  1.31451778e+00 -3.12580175e-01 
 5.30884444e+01  1.23645554e+00 -4.34078981e-01  1.23645556e+00 -4.34078998e-01 
 5.37031796e+01  1.14246454e+00 -5.30549314e-01  1.14246456e+00 -5.30549333e-01 
 5.43250331e+01  1.04125193e+00 -6.01609044e-01  1.04125195e+00 -6.01609064e-01 
 5.49540874e+01  9.39802314e-01 -6.49625044e-01  9.39802331e-01 -6.49625066e-01 
 5.55904257e+01  8.42907902e-01 -6.78362659e-01  8.42907917e-01 -6.78362682e-01 
 5.62341325e+01  7.53355691e-01 -6.91918031e-01  7.53355705e-01 -6.91918055e-01 
 5.68852931e+01  6.72403008e-01 -6.94073994e-01  6.72403020e-01 -6.94074018e-01 
 5.75439937e+01  6.00282870e-01 -6.88012495e-01  6.00282881e-01 -6.88012519e-01 
 5.82103218e+01  5.36618063e-01 -6.76255226e-01  5.36618073e-01 -6.76255251e-01 
 5.88843655e+01  4.80715451e-01 -6.60721264e-01  4.80715460e-01 -6.60721289e-01 
 5.95662144e+01  4.31755466e-01 -6.42829099e-01  4.31755475e-01 -6.42829124e-01 
 6.02559586e+01  3.88904195e-01 -6.23603821e-01  3.88904203e-01 -6.23603846e-01 
 6.09536897e+01  3.51373736e-01 -6.03772020e-01  3.51373744e-01 -6.03772045e-01 
 6.16595002e+01  3.18450348e-01 -5.83839019e-01  3.18450355e-01 -5.83839044e-01 
 6.23734835e+01  2.89503750e-01 -5.64148761e-01  2.89503757e-01 -5.64148786e-01 
 6.30957344e+01  2.63986105e-01 -5.44928886e-01  2.63986111e-01 -5.44928911e-01 
 6.38263486e+01  2.41425855e-01 -5.26324034e-01  2.41425861e-01 -5.26324059e-01 
 6.45654229e+01  2.21419444e-01 -5.08420131e-01  2.21419450e-01 -5.08420156e-01 
 6.53130553e+01  2.03622574e-01 -4.91261974e-01  2.03622579e-01 -4.91261999e-01 
 6.60693448e+01  1.87741856e-01 -4.74865874e-01  1.87741861e-01 -4.74865899e-01 
 6.68343918e+01  1.73527268e-01 -4.59228711e-01  1.73527273e-01 -4.59228736e-01 
 6.76082975e+01  1.60765522e-01 -4.44334405e-01  1.60765526e-01 -4.44334430e-01 
 6.83911647e+01  1.49274369e-01 -4.30158497e-01  1.49274373e-01 -4.30158522e-01 
 6.91830971e+01  1.38897754e-01 -4.16671405e-01  1.38897758e-01 -4.16671430e-01 
 6.99841996e+01  1.29501726e-01 -4.03840697e-01  1.29501730e-01 -4.03840723e-01 
 7.07945784e+01  1.20971005e-01 -3.91632685e-01  1.20971009e-01 -3.91632710e-01 
 7.16143410e+01  1.13206105e-01 -3.80013511e-01  1.13206108e-01 -3.80013536e-01 
 7.24435960e+01  1.06120928e-01 -3.68949884e-01  1.06120931e-01 -3.68949909e-01 
 7.32824533e+01  9.96407484e-02 -3.58409563e-01  9.96407516e-02 -3.58409589e-01 
 7.41310241e+01  9.37005236e-02 -3.48361659e-01  9.37005267e-02 -3.48361685e-01 
 7.49894209e+01  8.82434791e-02 -3.38776807e-01  8.82434821e-02 -3.38776833e-01 
 7.58577575e+01  8.32199176e-02 -3.29627254e-01  8.32199205e-02 -3.29627281e-01 
 7.67361489e+01  7.85862173e-02 -3.20886880e-01  7.85862201e-02 -3.20886906e-01 
