 frequency       v(/u_vc)        v(/u_vc)        v(/u_d)         v(/u_d)        
 5.30884444e+01  1.23584412e+00 -4.34164080e-01  1.23643559e+00 -4.34681766e-01 
 5.37031796e+01  1.14182866e+00 -5.30537455e-01  1.14238918e+00 -5.31111667e-01 
 5.43250331e+01  1.04061653e+00 -6.01504567e-01  1.04114041e+00 -6.02125089e-01 
 5.49540874e+01  9.39186434e-01 -6.49438784e-01  9.39671243e-01 -6.50095723e-01 
 5.55904257e+01  8.42324069e-01 -6.78108334e-01  8.42769843e-01 -6.78792947e-01 
 5.62341325e+01  7.52810761e-01 -6.91609571e-01  7.53219150e-01 -6.92314609e-01 
 5.68852931e+01  6.71899590e-01 -6.93723998e-01  6.72273167e-01 -6.94443724e-01 
 5.75439937e+01  5.99820727e-01 -6.87631582e-01  6.00162487e-01 -6.88361614e-01 
 5.82103218e+01  5.36195244e-01 -6.75851936e-01  5.36508273e-01 -6.76589022e-01 
 5.88843655e+01  4.80329101e-01 -6.60302245e-01  4.80616377e-01 -6.61044036e-01 
 5.95662144e+01  4.31402361e-01 -6.42399410e-01  4.31666651e-01 -6.43144252e-01 
 6.02559586e+01  3.88581069e-01 -6.23167239e-01  3.88824882e-01 -6.23914007e-01 
 6.09536897e+01  3.51077466e-01 -6.03331322e-01  3.51303041e-01 -6.04079287e-01 
 6.16595002e+01  3.18178047e-01 -5.83396213e-01  3.18387368e-01 -5.84144937e-01 
 6.23734835e+01  2.89252808e-01 -5.63705275e-01  2.89447619e-01 -5.64454533e-01 
 6.30957344e+01  2.63754190e-01 -5.44485714e-01  2.63936022e-01 -5.45235434e-01 
 6.38263486e+01  2.41210905e-01 -5.25881841e-01  2.41381097e-01 -5.26632065e-01 
 6.45654229e+01  2.21219641e-01 -5.07979343e-01  2.21379368e-01 -5.08730191e-01 
 6.53130553e+01  2.03436321e-01 -4.90822839e-01  2.03586613e-01 -4.91574485e-01 
 6.60693448e+01  1.87567752e-01 -4.74428510e-01  1.87709513e-01 -4.75181164e-01 
